"PLANTID" "GARDENID" "YEAR" "SEASON" "LENGTHFRUIT" "WIDTHFRUIT" "NFERT"
"281" "GON_1078" "GON" 2022 "S2" 11.69 11.83 8
"282" "GON_1078" "GON" 2022 "S2" 12.38 11.86 10
"283" "GON_1080" "GON" 2022 "S2" 9.93 10.9 8
"284" "GON_1080" "GON" 2022 "S2" 10.62 10.79 8
"285" "GON_1080" "GON" 2022 "S2" 12.17 13.01 8
"286" "GON_1080" "GON" 2022 "S2" 11.49 9.18 6
"287" "GON_1080" "GON" 2022 "S2" 11.34 11.21 8
"288" "GON_1081" "GON" 2021 "S3" 7.13 5.81 8
"289" "GON_1081" "GON" 2022 "S2" 9.81 13.24 10
"290" "GON_1081" "GON" 2022 "S2" 9.08 11.45 10
"291" "GON_1081" "GON" 2022 "S2" 9.17 12.27 10
"292" "GON_1081" "GON" 2022 "S2" 8 11.12 10
"293" "GON_1081" "GON" 2022 "S2" 8.3 10.42 10
"294" "GON_1082" "GON" 2021 "S3" 10.23 8.62 10
"295" "GON_1082" "GON" 2021 "S3" 10.96 10.13 10
"296" "GON_1083" "GON" 2022 "S2" 8.6 11.33 10
"297" "GON_1083" "GON" 2022 "S2" 10 13.04 10
"298" "GON_1083" "GON" 2022 "S2" 9.32 11.8 10
"299" "GON_1083" "GON" 2022 "S2" 9.26 11.16 10
"300" "GON_1083" "GON" 2022 "S2" 8.51 10.07 10
"301" "GON_1084" "GON" 2021 "S2" 16.63 16.31 10
"302" "GON_1084" "GON" 2021 "S3" 9.12 7.96 10
"303" "GON_1084" "GON" 2022 "S2" 9.6 12.85 10
"304" "GON_1084" "GON" 2022 "S2" 7.68 11.24 10
"305" "GON_1084" "GON" 2022 "S2" 7.29 12.33 10
"306" "GON_1084" "GON" 2022 "S2" 8.07 10.9 10
"307" "GON_1084" "GON" 2022 "S2" 6.66 10.18 10
"308" "GON_1085" "GON" 2021 "S3" 15 10.83 10
"309" "GON_1085" "GON" 2021 "S3" 9.86 9.21 5
"310" "GON_1085" "GON" 2021 "S3" 14.12 12.78 10
"311" "GON_1086" "GON" 2021 "S2" NA NA NA
"312" "GON_1086" "GON" 2021 "S2" NA NA 6
"313" "GON_1086" "GON" 2021 "S2" 6.87 5.17 8
"314" "GON_1086" "GON" 2022 "S2" 9.02 12.83 9
"315" "GON_1086" "GON" 2022 "S2" 10.02 13.51 10
"316" "GON_1086" "GON" 2022 "S2" 6.93 9.94 10
"317" "GON_1086" "GON" 2022 "S2" 7.03 10 10
"318" "GON_1086" "GON" 2022 "S2" 6.89 10.73 10
"319" "GON_1088" "GON" 2021 "S3" 9.85 9.37 5
"320" "GON_1088" "GON" 2021 "S3" 9.53 7.57 10
"321" "GON_1089" "GON" 2021 "S1" 6.52 4.62 6
"322" "GON_1089" "GON" 2021 "S1" 7.22 3.56 4
"323" "GON_1089" "GON" 2021 "S3" 13.17 10.96 10
"324" "GON_1089" "GON" 2021 "S3" 12.6 8.75 NA
"325" "GON_1089" "GON" 2021 "S3" 9.75 9.95 NA
"326" "GON_1089" "GON" 2021 "S3" 8.6 7.53 NA
"327" "GON_1091" "GON" 2022 "S2" 10.58 9.49 10
"328" "GON_1091" "GON" 2022 "S2" 7.74 8.34 10
"329" "GON_1091" "GON" 2022 "S2" 8.74 11.01 10
"330" "GON_1091" "GON" 2022 "S2" 5.07 6.93 8
